Modelo	lmk_name	dst_euclidea	Metodo
DID19	FtL	1.5508949946561503	VRN
DID19	FtR	14.222972245249883	VRN
DID19	FzgyL	12.707006318273688	VRN
DID19	FzgyR	9.689956794157895	VRN
DID19	EnR	1.6652046731636785	VRN
DID19	EnL	3.0689232163697286	VRN
DID19	MsoL	8.468847588293846	VRN
DID19	MsoR	3.645893675685267	VRN
DID19	ExR	7.704446338546805	VRN
DID19	ExL	8.595136544854823	VRN
DID19	Gl	6.646468576436428	VRN
DID19	Na	5.3026069516387535	VRN
DID19	Prn	2.9420570157191954	VRN
DID19	AlR	3.4663299436845034	VRN
DID19	AlL	4.309030769420061	VRN
DID19	ChL	5.939829712912563	VRN
DID19	ChR	5.200664530908141	VRN
DID19	St	0.7397502446388134	VRN
DID19	Sbn	4.8313616631258345	VRN
DID19	Ls	3.6547124267193585	VRN
DID19	Li	3.0027558952384137	VRN
DID19	Po	2.4022711216016996	VRN
DID19	Gn	4.4728289387045805	VRN
DID19	Me	5.0167447742874245	VRN
DID15	Gl	3.8107215322770065	VRN
DID15	Prn	5.566725967226597	VRN
DID15	Na	3.015386397321243	VRN
DID15	Sbn	4.037060814423405	VRN
DID15	Ls	5.359908859899374	VRN
DID15	St	2.848328558731164	VRN
DID15	Li	2.7122608437835756	VRN
DID15	Po	4.895004001616971	VRN
DID15	ChL	1.2391512752773406	VRN
DID15	ChR	4.394583325592059	VRN
DID15	EnL	4.722447596801131	VRN
DID15	FzgyR	13.04860573243468	VRN
DID15	FtL	7.825704396731699	VRN
DID15	MsoR	1.5579764437093095	VRN
DID15	Sm	5.722835439868604	VRN
DID15	Gn	3.7206118271922075	VRN
DID15	Me	6.40510345819683	VRN
DID15	AlR	7.26924055515982	VRN
DID15	AlL	4.712626606630152	VRN
DID15	ExL	8.839094448928918	VRN
DID15	EnR	5.6828094433984075	VRN
DID15	ExR	7.920510481984166	VRN
DID15	FzgyL	14.757642936939574	VRN
DID15	FtR	2.795112934960335	VRN
DID15	MsoL	5.627258260548091	VRN
DID2	Sbn	9.46107080851778	VRN
DID2	Prn	3.800949477753091	VRN
DID2	Na	2.2660970922030823	VRN
DID2	AlL	2.740718571487457	VRN
DID2	AlR	5.886607558738073	VRN
DID2	Ls	2.367346322547597	VRN
DID2	St	1.6010004501945385	VRN
DID2	Li	4.683001636829752	VRN
DID2	ExL	10.135151380883844	VRN
DID2	EnL	5.265212529316608	VRN
DID2	EnR	3.98974321942038	VRN
DID2	ExR	3.660255095039528	VRN
DID2	MsoL	7.458863877582166	VRN
DID2	MsoR	4.303363808508699	VRN
DID2	FtR	1.9547463383194217	VRN
DID2	FtL	3.3892955263971136	VRN
DID2	FzgyR	6.9796124507617945	VRN
DID2	FzgyL	9.036820503368162	VRN
DID2	ChR	7.081097351677558	VRN
DID2	ChL	4.094621923562721	VRN
DID2	Gl	1.7522779883046753	VRN
DID18	Na	0.8769736802756228	VRN
DID18	Gl	2.7885528326555393	VRN
DID18	Ls	3.3272551850337764	VRN
DID18	ChL	4.614163385621971	VRN
DID18	ChR	11.083254915642543	VRN
DID18	ExL	11.026083976628835	VRN
DID18	FtL	5.425893866540969	VRN
DID18	FtR	10.399845597323665	VRN
DID18	Sbn	3.5454626699060716	VRN
DID18	St	4.97016943572502	VRN
DID18	Sm	1.3658361392317955	VRN
DID18	Po	5.184367769073583	VRN
DID18	Gn	3.6416907874169477	VRN
DID18	AlL	2.414430871194152	VRN
DID18	AlR	6.718771910963941	VRN
DID18	EnR	6.707536444173727	VRN
DID18	ExR	8.859394047499636	VRN
DID18	FzgyR	9.509300176069008	VRN
DID18	MsoL	5.210627451037191	VRN
DID18	MsoR	4.627764395223926	VRN
DID18	Li	4.713856626121599	VRN
DID18	Me	8.589970990530784	VRN
DID18	FzgyL	8.513233940157733	VRN
DID18	Prn	2.9560862929488496	VRN
DID18	EnL	9.639646330631441	VRN
DID14	Sbn	3.391762856023224	VRN
DID14	Na	3.487633612057408	VRN
DID14	Gl	5.428193030424659	VRN
DID14	Prn	4.144107523294806	VRN
DID14	Ls	6.712626551436613	VRN
DID14	St	2.0472596598038515	VRN
DID14	Li	5.963521222657965	VRN
DID14	Sm	1.3333862619921482	VRN
DID14	Me	7.09320809957287	VRN
DID14	EnR	2.1087234260463905	VRN
DID14	ExR	6.741296039415422	VRN
DID14	MsoL	1.8581946028858503	VRN
DID14	Po	6.676209206852011	VRN
DID14	Gn	6.913958734442579	VRN
DID14	ChL	4.122117444333843	VRN
DID14	ChR	14.749447827353594	VRN
DID14	AlL	1.0746689806074559	VRN
DID14	AlR	8.93558743284429	VRN
DID14	EnL	2.0087293830128674	VRN
DID14	ExL	9.206444315832291	VRN
DID14	MsoR	5.013198184273561	VRN
DID14	FzgyL	10.303929439311304	VRN
DID14	FzgyR	2.1985737369928726	VRN
DID14	FtL	1.1882658332942369	VRN
DID14	FtR	7.122199393547734	VRN
DID1	AlL	5.89905138813864	VRN
DID1	Li	2.5589129270649935	VRN
DID1	ExL	5.0800423089690865	VRN
DID1	EnL	5.4970222273502545	VRN
DID1	EnR	4.253529590910121	VRN
DID1	Na	3.5314873194424377	VRN
DID1	Sbn	3.4440722073817955	VRN
DID1	ExR	7.169278334900297	VRN
DID1	Prn	2.482398251466901	VRN
DID1	MsoL	3.1007954367783013	VRN
DID1	FtL	3.5633421882956733	VRN
DID1	FtR	7.211468189406863	VRN
DID1	FzgyR	6.863718311589853	VRN
DID1	ChR	3.9721496285241398	VRN
DID1	AlR	8.871319104137733	VRN
DID1	St	6.09516073476608	VRN
