	dst_euclidea	dst_euclidea	dst_euclidea	dst_euclidea	dst_euclidea	dst_euclidea	dst_euclidea	dst_euclidea
	count	mean	std	min	25%	50%	75%	max
Modelo								
DID1	26.0	9.439828195600022	3.279916197916495	2.4534530397851113	7.19473814565919	9.259206884290442	12.247482256379634	14.914531285906355
DID11	31.0	7.121537386251305	5.348734621737912	1.789226745803379	3.838295073621456	6.116705681079366	7.394914537699116	24.885875926463786
DID12	33.0	5.840925505539079	2.325831266236283	1.4601991276260085	3.723691538445667	6.007870271834729	7.699922027592099	10.490647585119506
DID13	31.0	5.726237890369689	3.416976824722626	0.5479335621292389	3.6364951215212677	5.4159926005889485	8.175260407311114	14.089243667888123
DID14	30.0	7.539057599925986	3.1279380769685154	2.5015146620782778	5.042310865181034	7.148250993219516	10.03595422047647	14.15142043057487
DID15	33.0	10.170014070612684	4.630626764436451	1.3206332406932644	7.672078396069582	9.0732032531317	14.363576138749291	21.263493184346412
DID16	33.0	6.100986548448619	2.6564435299542373	1.6680478494710655	3.9968504762116415	5.796145739689563	7.886421145650077	10.985974944588472
DID17	33.0	6.345898066732003	3.45756037052755	0.8991536709342776	4.039815242335081	5.866506680716612	7.753568150846611	17.390469574013576
DID18	33.0	8.31295247400429	3.5158530598811413	1.936126249399297	6.088189385780035	8.193012283918273	9.407259292090194	16.604936983580338
DID19	28.0	6.066856002566657	2.8900148412224076	1.842283931653768	4.110424673988464	5.68408256110693	7.726898306680637	13.298900473469212
DID2	27.0	6.208949175325301	2.481342418141047	2.0201038923708765	5.0405243260614245	5.698854284626854	7.734704760383732	13.893203096375968
DID3	33.0	6.084051373261084	4.442325949488323	0.7327523736280618	3.0254149440370806	4.030762304275829	7.0579932279759925	17.27345077667873
DID4	31.0	6.371907819411836	3.686335252657966	0.8869824922884504	3.8911857759496753	5.532458752271595	7.741414364378363	16.172351756153873
DID6	20.0	7.200815930528461	3.063603631981546	3.101084524165706	4.774266395511553	6.943210586164714	8.947297086087056	13.788516897911517
DID9	33.0	6.653914284230851	3.7422713726479477	1.8749979282185198	3.991263668085683	5.275895122128148	8.655883167018386	17.400895169621634
